trt,trt_mean,std,r,se,Min,Max,Q25,Q50,Q75,FQS_mean,stat_grp,practice_subset,practice,production_type,product_name,FQS,max_value,product_FQS,stat_grp_conv,conv_mean,stat_grp_conv_diff,mean_conv_diff,pval_tukey
Bleu d'Auvergne - Cantal,74.7575189085472,10.8861929728717,54,1.98972644014611,41.7323031636919,90.9639526313749,69.4547514413667,77.3107268388383,82.3606047169307,74.7575189085472,c,feed,feed_A.3.2,milk,Lait,Bleu d'Auvergne - Cantal,132.661986147795,Lait - Bleu d'Auvergne - Cantal,ab,81.6320034355466,TRUE,-8.42131056164406,0.0144
Comte - Morbier,78.7462625974517,12.915289848823,64,1.8276804397809,35.1648775037565,90.9639526313749,73.6992790641979,82.1996892677171,87.9342127192524,78.7462625974517,bc,feed,feed_A.3.2,milk,Lait,Comte - Morbier,132.661986147795,Lait - Comte - Morbier,ab,81.6320034355466,FALSE,-3.53506065837685,0.73
Conventionnel,81.6320034355466,14.281213126426,882,0.492329612499461,20.2527174768768,132.661986147795,74.35917813027,84.0421431084772,91.0478148493484,81.6320034355466,ab,feed,feed_A.3.2,milk,Lait,Conventionnel,132.661986147795,Lait - Conventionnel,ab,81.6320034355466,FALSE,0,NA
Fromages de Savoie,79.1718606114794,8.74541164824528,33,2.5452666143451,49.6233785644932,90.9639526313749,74.6554857708896,81.4372945719198,84.3702061923383,79.1718606114794,abc,feed,feed_A.3.2,milk,Lait,Fromages de Savoie,132.661986147795,Lait - Fromages de Savoie,ab,81.6320034355466,FALSE,-3.0136989422409,0.9644
Munster,87.9466503029137,9.04247519891012,38,2.37191134651323,63.3926993206322,104.33584073818,85.426991573487,89.2036423415474,92.8966026343886,87.9466503029137,a,feed,feed_A.3.2,milk,Lait,Munster,132.661986147795,Lait - Munster,ab,81.6320034355466,FALSE,7.73550397100443,0.1248
AB,1.18426574331222,0.373890239280691,88,0.0193049704484449,0,1.76072712212495,1.00373313594587,1.29251636724961,1.44874374867586,1.18426574331222,b,feed,feed_A.3.3,milk,Lait,AB,1.83716928734949,Lait - AB,a,1.32085939514187,TRUE,-10.3412711702733,0
Beurre de Charentes-Poitou,1.35571461485866,0.154234535414686,59,0.02357677893547,0.907293484065363,1.64184310255809,1.27396538876182,1.37888060114783,1.45181619868662,1.35571461485866,a,feed,feed_A.3.3,milk,Lait,Beurre de Charentes-Poitou,1.83716928734949,Lait - Beurre de Charentes-Poitou,a,1.32085939514187,FALSE,2.63882892039738,0.7848
Bleu d'Auvergne - Cantal,1.25819111930862,0.146968053148496,54,0.0246441360290349,0.656459257813715,1.49350955248237,1.17518832418882,1.29156225692986,1.35802327693767,1.25819111930862,ab,feed,feed_A.3.3,milk,Lait,Bleu d'Auvergne - Cantal,1.83716928734949,Lait - Bleu d'Auvergne - Cantal,a,1.32085939514187,FALSE,-4.74450770943161,0.1718
Comte - Morbier,1.29148120853624,0.167171820922962,64,0.0226370844085779,0.529458363638399,1.55285920062647,1.24098252940716,1.34301383869852,1.38831629364267,1.29148120853624,a,feed,feed_A.3.3,milk,Lait,Comte - Morbier,1.83716928734949,Lait - Comte - Morbier,a,1.32085939514187,FALSE,-2.22417213472425,0.8729
Conventionnel,1.32085939514187,0.159366434549574,882,0.00609784224441817,0.459520812404178,1.83716928734949,1.26211635600201,1.34673342575365,1.4079074710685,1.32085939514187,a,feed,feed_A.3.3,milk,Lait,Conventionnel,1.83716928734949,Lait - Conventionnel,a,1.32085939514187,FALSE,0,NA
Fromages de Savoie,1.31180884652899,0.121108302375882,33,0.0315248847321321,0.851219148355746,1.50115175215952,1.29048291051298,1.33412605792097,1.37094554841327,1.31180884652899,a,feed,feed_A.3.3,milk,Lait,Fromages de Savoie,1.83716928734949,Lait - Fromages de Savoie,a,1.32085939514187,FALSE,-0.685201516994884,1
Munster,1.35665584072918,0.107058750731049,38,0.0293777600241323,0.966974949815965,1.49676813210537,1.32612430431593,1.37589801830039,1.42188080262829,1.35665584072918,a,feed,feed_A.3.3,milk,Lait,Munster,1.83716928734949,Lait - Munster,a,1.32085939514187,FALSE,2.71008751718507,0.8969
AB,0,0,88,0.00797941769656295,0,0,0,0,0,0,d,feed,feed_A.4.3,milk,Lait,AB,0.572510867836483,Lait - AB,a,0.384116467701219,TRUE,-100,0
Beurre de Charentes-Poitou,0.391359775362799,0.0824746919318006,59,0.0097451051566254,0.0537754223833633,0.490907302356474,0.378391453552651,0.409884777694297,0.436678462179575,0.391359775362799,a,feed,feed_A.4.3,milk,Lait,Beurre de Charentes-Poitou,0.572510867836483,Lait - Beurre de Charentes-Poitou,a,0.384116467701219,FALSE,1.88570609974837,0.9914
Bleu d'Auvergne - Cantal,0.34652418902828,0.0821422610774384,54,0.0101862810757333,0.129073435205762,0.479218935274942,0.305726638257832,0.350714019077695,0.415555521754315,0.34652418902828,b,feed,feed_A.4.3,milk,Lait,Bleu d'Auvergne - Cantal,0.572510867836483,Lait - Bleu d'Auvergne - Cantal,a,0.384116467701219,TRUE,-9.78668758929121,0.0065
Comte - Morbier,0.291115356794029,0.0728729435452671,64,0.00935669662954321,0.134414644704621,0.457612575958627,0.237031578935424,0.288426268609237,0.346929154838273,0.291115356794029,c,feed,feed_A.4.3,milk,Lait,Comte - Morbier,0.572510867836483,Lait - Comte - Morbier,a,0.384116467701219,TRUE,-24.2116958597906,0
Conventionnel,0.384116467701219,0.0772678493869404,882,0.00252045090904964,0.0102189082997366,0.572510867836483,0.347969424543702,0.398833960636489,0.437471050571581,0.384116467701219,a,feed,feed_A.4.3,milk,Lait,Conventionnel,0.572510867836483,Lait - Conventionnel,a,0.384116467701219,FALSE,0,NA
Fromages de Savoie,0.326039870199635,0.0843554578197917,33,0.0130303345340757,0.142474406762136,0.474739365105257,0.275270800501555,0.327872728210305,0.398827014205784,0.326039870199635,bc,feed,feed_A.4.3,milk,Lait,Fromages de Savoie,0.572510867836483,Lait - Fromages de Savoie,a,0.384116467701219,TRUE,-15.1195281600784,3e-04
Munster,0.397006579934894,0.0755258721213295,38,0.0121428529946713,0.101094183586607,0.513168247907009,0.378301386830905,0.417506126929307,0.444011150491955,0.397006579934894,a,feed,feed_A.4.3,milk,Lait,Munster,0.572510867836483,Lait - Munster,a,0.384116467701219,FALSE,3.3557822477168,0.9448
AB,115.918094074596,10.7456566573046,88,1.89885295868332,70.2972169785256,137.177424768263,110.644823627785,116.353983318351,123.118552176733,115.918094074596,e,feed,feed_A.4.5,milk,Lait,AB,267.736853404655,Lait - AB,a,153.444352156151,TRUE,-24.4559395991104,0
